All,全部
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" 商店ID不正确。验证商店ID，然后重试。"
"More permissions are needed to save this setting.",保存此设置需要更多权限。
"Read Details",查看详情
"Mark as Read",标记为已读
"Are you sure?",您确定吗？
Remove,删除
"Messages Inbox",消息收件箱
"You have %1 new system messages","你有 %1 新系统消息"
"You have %1 new system message","你有 %1 新系统消息"
"Incoming Message",收到消息
close,关闭
Notifications,通知消息
"The message has been marked as Read.",邮件已标记为已读。
"We couldn't mark the notification as Read because of an error.",由于发生错误，我们不能将通知标记为读。
"Please select messages.",请选择消息。
"A total of %1 record(s) have been marked as Read.","共有 %1 条记录已标记为已读。"
"Total of %1 record(s) have been removed.","共有 %1 条记录已被删除。"
"We couldn't remove the messages because of an error.",由于发生错误，我们不能删除的消息。
"The message has been removed.",该消息已被删除。
"1 Hour","1 小时"
"2 Hours","2 个小时"
"6 Hours","6 个小时"
"12 Hours","12 个小时"
"24 Hours","24 小时"
critical,紧急
major,主要
minor,次要
notice,通知
"Wrong message type",错误消息类型
"Wrong notification ID specified.","指定的错误通知 ID。"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} 不建议在生产环境中使用申报不安全的基本URL / 安全的基本URL。我们强烈建议在您的 Magento
 里更改此值 <a href=""%1""> 配置</a>。"
"One or more of the Cache Types are invalidated: %1. ","一个或多个缓存类型将失效：%1。 "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","请跳转至 <a href=""%1"">缓存管理</a> 并刷新缓存类型。"
"We were unable to synchronize one or more media files. Please refer to the log file for details.",我们未能同步一个或多个媒体文件，请参阅日志文件中的详细信息。
"Synchronization of media storages has been completed.",媒体库同步已完成。
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","您的 web 服务器设置错误，允许对敏感文件进行未经授权的访问，请与您的主机供应商联系。"
"System Messages:",系统消息：
"Critical System Messages",紧急系统消息
"Major System Messages",主要系统消息
"System messages",系统消息
Close,关闭
"See All (","查看所有 ("
" unread)",未读)
"Show Toolbar",显示工具栏
"Show List",显示列表
"Use HTTPS to Get Feed","使用 HTTPS 来得到订阅源"
"Update Frequency",更新频率
"Last Update",最近更新
Severity,严重程度
"Date Added",日期已添加
Message,信息
Actions,动作
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.",您已经查看并解决了所有最近的系统通知。请刷新网页以清除通知警报。
"Manage Shopping Cart",管理购物车
"Create Order",创建订单
Back,返回
"Add Products",添加产品
"Update Items and Quantities",更新商品及数量
"Are you sure you want to clear your cart?",确实要清除您的购物车吗？
"Clear my shopping cart",清空我的购物车
"Add selections to my cart",将选项添加到我的购物车
Cancel,取消
"Shopping Cart for %1 in %2","在 %2 %1 的购物车"
"Select products you want to buy",选择你想要买的产品
Product,产品
Price,价格
Quantity,数量
"Products in the Comparison List (%1)","在比较列表中的产品 (%1)"
"Last ordered items (%1)","最后订购的商品 (%1)"
Products,产品展示
ID,编号ID
SKU,商品编号SKU
"Recently Compared Products (%1)","最近比较的产品 (%1)"
"Recently Viewed Products (%1)","最近浏览过的产品 (%1)"
"Add to Shopping Cart by SKU","根据商品编号 SKU 添加到购物车"
"Add to Shopping Cart",添加到购物车
"Wish List (%1)","收藏夹 (%1)"
Apply,应用
Configure,配置
"Add to Order by SKU",根据商品编号SKU添加到订单
"Add to Order",添加到订单
"Add Products to Order",将产品添加到订单
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> 产品需要注意。</span>"
"Remove All",删除所有
"Only %1%2%3 left in stock","库存中只剩 %1%2%3件"
"You can buy up to %1 of these per purchase.","每次购买，您最多可以购买 %1。"
"You must buy at least %1 of these per purchase.",每次购买，您必须购买至少%1。
"Specify the product's options.",指定的产品选项。
"Alert me when this item is available.",当产品可买时，请通知我。
"Shopping cart management is disabled for this customer.",此顾客禁用购物车管理。
Customers,客户
"Shopping Cart",购物车
"Sorry, something went wrong. You can find out more in the error log.",抱歉，出现了错误。您可以在错误日志中找到更多信息。
"You do not have access to this.",你没有权限访问这个页面。
"Ordered item id is not received.","未收到订购商品的 ID。"
"An error has occurred. See error log for details.",出问题了，详细信息请查阅错误日志。
"You cannot configure a product.",您不能配置这个产品。
"You removed the items.",您删除的商品。
"You removed the item.",您已删除了这个产品。
"You added %1 to your shopping cart.","您已添加 %1 到您的购物车"
"You cannot add a product.",您不能添加产品。
"Order by SKU","按 SKU 编码排序"
"The SKU was not found in the catalog.","在目录中找不到该商品编号 SKU。"
"Availability: Out of stock.",库存：缺货。
"We don't have as many of these as you want.",您想要的超出我们的存量。
"You can't add this many to your cart.",您添加的数量已经超出购物车
"You need to choose options for your item.",您需要为您的项目选择选项。
"We can't add the item to your cart.",您不能添加此产品到您的购物车
"Please enter an actual number in the ""Qty"" field.","请在""数量""字段中输入的实际数字。"
"This product is assigned to another website.",本产品已分配给另一个网站。
"You can add only enabled products.",您可以添加只启用的产品。
"You cannot upload this file.",你无法上传此文件。
"The file is empty.",该文件是空的。
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","您还没有输入产品的 SKU。请 <a href=""%1""> 单击此处</a> 以添加产品的 SKU。"
"You have not entered a product SKU.","您还没有输入产品的 SKU。"
"We can't add a product to cart by id ""%1"".","不能添加id为 ""%1"" 的产品到购物车 。"
"Something went wrong while reordering this product.",本产品的重新排序时，出了错。
"We can't find this wish list.",我们找不到这个愿望清单。
"You added %1 product to your shopping cart.","%1 产品已经添加到您的购物车。"
"You added %1 products to your shopping cart.","%1 产品已经添加到您的购物车。"
"%1 product requires your attention.","%1 产品可以关注。"
"%1 products require your attention.","%1 产品可以关注。"
"Yes, for Specified Customer Groups",是的，针对指定的客户群体
"Yes, for Everyone",是的，对所有人生效。
No,否
"Please upload the file in .csv format.","请上传 .csv 格式的文件。"
"%1 item(s) need your attention.","%1 项目需要您的关注。"
"Apply Coupon Code",适用的优惠券代码
"Remove Coupon Code",删除优惠券代码
"The coupon code ""%1"" is not valid.","优惠券代码""%1""无效。"
"Shopping Cart Items",购物车里的产品
Qty,数量
Subtotal,小计
Discount,折扣
"Row Subtotal",行小计
Action,操作
"No ordered items",没有订购项
"Total %1 product(s)","总计%1 产品"
Subtotal:,小计：
"Please select",请选择
"Move to Wish List",移动到收藏夹
"No item specified.",没有指定的项。
"Are you sure you want to remove this item?",你确定要删除这个项目吗？
"SKU number","SKU 编号"
"Upload File",上传文件
"Your csv file must include ""sku"" and ""qty"" columns.","您的 csv 文件必须包括""sku""和""数量""列。"
Reset,重置
"SKU: ",SKU：
"Only <span id=""%1_max_allowed"">%2</span> in stock","只有 <span id=""%1_max_allowed"">%2</span> 有货"
Item,产品
"See price before order confirmation.",确认订单前显示价格。
"What's this?",这是什么？
"Incl. Tax",含。税
"Excl. Tax",不含税
"Edit item parameters",修改参数
Edit,编辑
"Remove item",删除项目
"Products Requiring Attention",可以关注的产品
"Add to Cart",添加到购物车
Sku,SKU
File,文件
"File extensions allowed: .csv",允许使用的文件扩展类型：.csv
"Add Row",添加行
"Remove Row",删除行
"Add Products By SKU","按 SKU 添加产品"
"Shopping Cart Management",购物车管理
"View Shopping Cart",查看购物车
"View and modify Shopping Cart",查看和修改购物车
"Order by SKU Settings","按 SKU 设置顺序"
"Enable Order by SKU on My Account in Storefront","在店面我的账号启用 SKU 排序"
"Customer Groups",客户组
"Apply Coupon",申请优惠券
"Order by SKU Description","按 SKU 描述排序"
"Display a Link to Loading a Spreadsheet",显示加载电子表格的链接
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","定义在组件上是否显示我的账户页面 &gt; 按 SKU 排序的链接"
"Link Text",链接文本
"The text of the link to the My Account &gt; Order by SKU page","我的账户页面 &gt; 按 SKU 排序的链接文本"
"Load a list of SKUs","加载 SKU 的列表"
"Order by SKU Template","按 SKU 排序的模板"
"This customer couldn't be found. Verify the customer and try again.",找不到该客户。验证客户然后重试。
"This store couldn't be found. Verify the store and try again.",找不到这家商店。验证商店然后重试。
"An error occurred. For details, see the error log.",发生了错误。有关详细信息，请参阅错误日志。
"The ordered item needs to be loaded. Load the item and try again.",订购的商品需要加载。加载项目然后重试。
"The quote item ID needs to be received. Set the ID and try again.","需要收到报价项目编号。设置 ID 然后重试。"
"The quote item needs to be loaded. Load the item and try again.",报价商品需要加载。加载项目然后重试。
"The wish list item ID needs to be received. Set the ID and try again.","需要收到心愿单商品编号。设置 ID 然后重试。"
"The wish list item needs to be loaded. Load the item and try again.",需要加载愿望清单商品。加载项目然后重试。
"The file is corrupt and can't be used.",该文件已损坏，无法使用。
"Please correct the data sent.",请更正发送的数据。
"Entity type model '%1' is not found","实体型模式必须是一个实例 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","实体模类型型必须是实例 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export",没有可以导出的产品类型
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","类%1未实现\Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule",促销规则
"Index sales rule",索引促销规则
"Related Search Terms",相关搜索关键词
"Add New Search Term",添加新的搜索词
button_label,按钮名称
"Missing search engine parameter.",丢失搜索引擎参数
"Successful! Test again?","成功! 再测试一遍？"
"Connection failed! Test again?","连接失败! 再测试一遍？"
"Enable Search Recommendations",启用搜索建议
"When you enable this option your site may slow down.",当您启用此选项时您的站点响应可能变慢.
"Search Recommendations Count",搜索建议总数
"Show Results Count for Each Recommendation",显示每项搜索建议的结果总数
"Enable Search Suggestions",启用搜索建议
"Search Suggestions Count",搜索建议计数
"Show Results Count for Each Suggestion",显示每个建议的结果数
"Related search terms",相关搜索
"Did you mean",您的意思是？
"Search Query",搜索查询
Store,商店
Results,结果
Uses,应用
"Redirect URL","重定向 URL"
"Suggested Term",建议的词
Yes,是
"RPC call failed, connection timed out after %time_out.","RPC 调用失败，连接%time_out 后超时。"
"Message has been rejected: %1","消息被拒绝: %1"
"Error while checking if topic is synchronous",检查是否主题是否同步时出错
"Subscription status",订阅状态
"Sorry, there has been an error processing your request. Please try again later.",对不起，已处理您的请求时出错。请稍后再试。
"Cron settings can't be saved","无法保存 Cron 设置"
"There was an error save new configuration value.",有保存新的配置值时出错。
"--Please Select--","-- 请选择 --"
"These arguments can't be empty ""%1""","这些参数不能为空 ""%1"""
"Cannot find predefined integration user!",无法找到预定义的集成用户!
"File is not ready yet.",文件尚未准备就绪。
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","您的Base URL 已更改, 并且您的报告正在被更新。高级报告将在此变更处理完成后可用。请稍后再试。"
"Failed to synchronize data to the Magento Business Intelligence service. ","无法将数据同步到 Magento 智慧商务（Magento Business Intelligence）服务。 "
TestMessage,测试消息
"Apps and Games",应用程序和游戏
"Athletic/Sporting Goods",体育/体育用品
"Art and Design",艺术与设计
"Advanced Reporting",高级报告
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","通过根据客户数据量身定做的动态产品、订单和客户报告, 获得新的洞察力并掌握您的业务性能。"
"Go to Advanced Reporting",转到高级报告
Analytics,统计
API,应用开发接口（API）
Configuration,设置
"Business Intelligence",智慧商务
"BI Essentials",BI至关重要
"Advanced Reporting Service",高级报告服务
"Time of day to send data",每天发送数据的时间
Industry,工业制品
"In order to personalize your Advanced Reporting experience, please select your industry.","为了个性化您的高级报告经验, 请先选择您的行业。"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong> 从 Magento 商业智能中获得更多的洞察力 </strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento 商业智能为您提供了一个简单而明确的途径，让您
                    变得更加数据驱动。</br> 了解更多关于 <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials 和 BI Pro</a> 层的信息。"
"Auto Parts",汽配
"Baby/Children’s Apparel, Gear and Toys",婴儿/儿童服装，用品和玩具
"Beauty and Cosmetics",美容化妆
"Books, Music and Magazines",图书，音乐，杂志
"Crafts and Stationery",工艺品和文具
"Consumer Electronics",消费电子产品
"Deal Site",交易网站
"Fashion Apparel and Accessories",时尚服装及配件
"Food, Beverage and Grocery",食品、饮料和杂货
"Home Goods and Furniture",居家用品和家具
"Home Improvement",家居装修
"Jewelry and Watches",首饰和手表
"Mass Merchant",大型零售商
"Office Supplies",办公用品
"Outdoor and Camping Gear",户外和露营装备
"Pet Goods",宠物用品
"Pharma and Medical Devices",药品和医疗器械
"Technology B2B","技术 B2B"
Other,其他
"The time value is using an unsupported format. Enter a supported format and try again.",时间值使用的格式不受支持。输入支持的格式，然后重试。
"Please select an industry.",请选择一个工业。
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.",数据无效。输入字符串数据或可转换为字符串的数据，然后重试。
"The data is invalid. Enter the data as a string and try again.",数据无效。输入字符串数据，然后重试。
"The data is invalid. Use a valid cipher method and try again.",数据无效。使用有效的密码方法然后重试。
"Enter the encryption key and try again.",输入加密密钥，然后重试。
"The ""%1"" source doesn't exist.","""%1"" 来源不存在。"
"Retry Synchronization",重试同步
Done,完成
Retry,重试
"'Action Details - #' .","' 操作详情-#'。"
"%1 item(s) have been scheduled for update.""","%1 项目已定于更新。"""
"Bulk Actions Log",批量操作日志
"Bulk uuid %bulkUuid not exist","批量 uuid %bulkUuid 不存在"
"Topic %1","主题 %1"
"Something went wrong while processing the request.",处理请求时出错。
"Error processing %key element of input data","处理输入数据的 %key 元素时出错"
"Sorry, something went wrong during product prices update. Please see log for details.",对不起，在产品价格更新期间出现了问题。请参阅日志了解详细信息。
"%1 item(s) are currently being updated.","目前正在更新的项目 （%1）。"
"Task ""%1"": ","""%1""的任务︰ "
"%1 item(s) have been scheduled for update.","%1 项目已定于更新。"
"%1 item(s) have been successfully updated.","%1 项目已成功更新。"
"%1 item(s) failed to update","%1 项目更新失败"
Details,详情
"View Details",查看详情
Dismiss,忽略
"Pending, in queue...",挂起，队列中......
"%1 items selected for mass update","%1 项目选择大规模更新"
", %1 successfully updated","，已成功更新 %1"
", %1 failed to update",", %1 更新失败"
"Something went wrong.",发生一些错误。
"Action Log",操作日志
Report,报告
"Bulk Actions",批量操作
"Action Logs",操作日志
"Days Saved in Log",日志保存天数
"Description of Operation",操作说明
Summary,概览
"Start Time",平率
"Items to Retry",项目以重试
"To retry, select the items and click “Retry”.","要重试，请选中该项目并单击""重试""。"
"Items That Can’t Be Updated.",不能更新的项目。
Status,状态
"Meta Information","Meta 信息"
Error,错误
"Dismiss All Completed Tasks",关闭所有已完成的任务
"Action Details - #","操作详情 - #"
"Number of Records Affected",受影响的记录数
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.",编译允许资源列表时出错。您可以从异常日志查找更多可用信息。
"The role wasn't found for the user. Verify the role and try again.",找不到该用户的角色。验证角色然后重试。
"You created the order.",你已经下单了
"Order saving error: %1","订单保存错误: %1"
"Please choose a payment method.",请选择支付方式
"We can't process your order right now. Please try again later.",商户邮件
"An error occurred on the server. Please try to place the order again.",服务器上出现错误。请试着再次下订单。
"Credit Card: xxxx-%1",信用卡：xxxx-%1
"amount %1","金额 %1"
failed.,失败。
successful.,成功。
"Authorize.Net Transaction ID %1.","Authorize.Net 交易记录 ID %1。"
authorize,授权
"authorize and capture",授权和获取
capture,获取
refund,退款
void,无效
"Gateway error: %1","网关错误: %1"
"Something went wrong in the payment gateway.",支付网关出错。
"Invalid amount for capture.",获取的金额无效。
"Payment capturing error.",付款时出错。
"Invalid transaction ID.",无效交易id。
"Payment voiding error.",无效的错误付款。
"Invalid amount for refund.",退款金额无效。
"Payment refunding error.",退款出错。
"The transaction was declined because the response hash validation failed.",该交易被拒绝，因为响应hash验证失败。
"This payment didn't work out because we can't find this order.",这笔款项并不奏效，因为我们找不到此命令。
"There was a payment authorization error.",出现了一个付款授权错误。
"Please enter a transaction ID to authorize this payment.",请输入要授权这笔付款的交易ID。
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","什么地方出毛病: 已付的金额不匹配的订单额。请更正此错误，然后重试。"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","交易 %1 已被批准。金额为 %2。交易记录的状态是""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","交易 %1 已作废或拒绝。交易记录的状态是""%2""。金额为 %3。"
"Authorize Only",仅供授权
"Authorize and Capture",授权和获取
"Unable to get transaction details. Try again later.",无法获取交易记录详细信息。稍后再试。
"Electronic payments save the trees.",电子支付教程
"Credit Card Type",卡片验证号码
"Please Select",请选择
"Credit Card Number",信用卡卡号
"Expiration Date",过期日期
"Card Verification Number",信用卡验证号码
"Fraud Detection ",欺诈检测
"FDS Filter Action","欺诈检测服务FDS 筛选器操作"
"AVS Response","地址验证服务AVS 响应"
"Card Code Response",卡码响应
"CAVV Response","信用卡验证码CAVV 响应"
"Fraud Filters",欺诈行为过滤器
"Place Order",下单
"Sorry, but something went wrong. Please contact the seller.",对不起，但出了点问题。请联系卖方。
"Authorize.net Direct Post","Authorize.net 直接付款"
Enabled,启动
"Payment Action",支付行为
Title,标题
"API Login ID","API 登录 Id"
"Transaction Key",交易密钥
"Merchant MD5",商家的MD5哈希值
"New Order Status",新订单状态
"Test Mode",测试模板
"Gateway URL",网关网址
"Transaction Details URL","交易明细 URL"
"Accepted Currency",接受货币
Debug,调试
"Email Customer",电子邮件客户
"Merchant's Email",商家的电子邮件
"Credit Card Types",信用卡类型
"Credit Card Verification",信用卡验证
"Payment from Applicable Countries",来自特定国家的付款
"Payment from Specific Countries",具体国家的付款
"Minimum Order Total",最高订单金额
"Maximum Order Total",最大订单金额
"Sort Order",排序
"Cannot place order.",不能下订单。
"'Gateway error: ' .",网关错误：
"Unable to place order. Please try again later.",无法下订单。请稍后再试。
"A server error stopped your order from being placed. Please try to place your order again.",服务器错误导致您的订单无法提交。请尝试再次提交订单。
"The transaction details are unavailable. Please try again later.",交易详情不可用。请稍后再试。
"Authorize.Net Direct Post (Deprecated)","Authorize.Net 直接发布 (不推荐)"
"Signature Key",签名密钥
"There was an error while trying to process the request.",尝试处理请求时出错。
"This transaction cannot be refunded with its current status.",该交易当前状态无法退款。
"The authenticity of the gateway response could not be verified.",无法验证网关响应的可靠性。
"Basic Authorize.Net Settings","Authorize.Net 基本设置"
Environment,环境
"Public Client Key",公共客户密钥
"Merchant MD5 (deprecated)","商用MD5 (不推荐)"
"Advanced Authorize.Net Settings","Authorize.Net 高级设置"
"Enable Credit Card Verification Field",启用信用卡验证字段
"Invalid request to gateway.",网关的无效请求。
"Invalid gateway credentials.",无效的网关证书。
"Transaction has been declined. Please try again later.",交易记录已被拒绝。请稍后再试。
options,选项
"Select all",选择全部
"Deselect all",取消全选
"%s of %s selected","%s %s 已选中"
"B2B Features","B2B 特点"
"Invalid Form Key. Please refresh the page.",无效的表单密钥。请刷新此页面。
"You entered an invalid Secret Key. Please refresh the page.",输入的密钥无效。请刷新此页面。
"Cache Storage Management",缓存存储管理
"Flush Magento Cache","刷新 Magento 缓存"
"The cache storage may contain additional data. Are you sure that you want to flush it?",缓存储存可能包含其他数据，你确定要刷新它？
"Flush Cache Storage",刷新缓存存储
Invalidated,无效
Orders,订单
Amounts,金额
Bestsellers,畅销品
"Most Viewed Products",浏览最多的产品
"New Customers",请在该字段中输入大于或等于1的数字
Customer,客户
Guest,访客
Items,产品
Total,总额
"Lifetime Sales",销售总额
"Average Order",平均订单
Average,平均
Views,视图
Revenue,收入
Tax,税
Shipping,运费
"Images (.gif, .jpg, .png)","图像 （.gif、.jpg、.png）"
"Media (.avi, .flv, .swf)","媒体 (.avi、.flv，.swf)"
"All Files",所有文本
"Reset to Default",重置为默认值
"All Store Views",所有商店界面
"What is this?",这是什么？
"Save Account",保存帐户信息
"My Account",我的账户
"Account Information",账户信息
"User Name",用户名称
"First Name",名
"Last Name",姓
Email,邮箱
"User Email",用户电子邮件
"New Password",新密码
"Password Confirmation",密码确认
"Interface Locale",本地化用户界面
"Current User Identity Verification",当前用户身份验证
"Your Password",您的密码
"Save Cache Settings",保存缓存设置。
"Catalog Rewrites",目录编辑
Refresh,刷新
"Images Cache",图片缓存
Clear,清空
"Search Index",搜索索引
Rebuild,重建
"Inventory Stock Status",库存状态。
"Rebuild Catalog Index",重建目录索引
"Rebuild Flat Catalog Category",重建平面目录类别
"Rebuild Flat Catalog Product",重建平面目录产品
"Cache Control",缓存管理
"All Cache",所有缓存
"No change",没有变化
Disable,禁用
Enable,启用
"Add Design Change",添加设计更改
Delete,删除
Save,保存
"Edit Design Change",编辑设计更改
"New Store Design Change",新店设计更改
"General Settings",一般设置
"-- Please Select --","-- 请选择 --"
"Custom Design",自定义设计
"Date From",始于
"Date To",终于
"Design Change",设计更改
General,基本的
"Delete %1 '%2'","删除 %1 '%2'"
"Delete %1","删除 %1"
"Block Information",块信息
"Backup Options",备份选项
"Create DB Backup",创建数据库备份
"Delete Store",删除店铺
"Delete Web Site",删除网站
"Save Web Site",保存网站
"Save Store",保存店铺
"Save Store View",保存店铺视图
"Delete Store View",删除店铺视图
"Edit Web Site",编辑网站
"New Web Site",新建网站
"Edit Store",编辑商店
"New Store",新店铺
"Edit Store View",编辑店铺视图
"New Store View",新的店铺视图
"Store Information",店铺信息
"Web Site",网站
Name,名字
Code,代码
"Root Category",默认商店
"Default Store View",默认存储视图
"Store View Information",店铺视图信息
Disabled,禁用
"Web Site Information",网站信息
"Default Store",默认存储
"Set as Default",设置为默认
Stores,商店
"Create Website",创建网站
"Create Store",创建店铺
"Create Store View",创建店铺视图
Home,首页
"Are you sure you want to do this?",您确认要这么做么？
"Add New Image",添加新图片
"Export block for grid %1 is not defined","网格 %1 导出的块页面未定义"
"Reset Filter",重置筛选
Search,搜索
Any,任何
"All Countries",所有国家
From,从
To,至
"Date selector",日期选择
"[ deleted ]","[ 已删除 ]"
"Select All",选择全部
" [deleted]"," [删除]"
"We couldn't find any records.",我们找不到任何记录。
"Add New",新增
"Invalid export type supplied for grid export block",网格块页面导出类型无效
Export,导出
"Please correct the column format and try again.",请更正列格式，再试一次。
Submit,提交
"Unknown block type",未知模块类型
"Please correct the tab configuration and try again. Tab Id should be not empty","请更正选项卡配置，然后重试。选项卡 Id 不应为空"
"Please correct the tab configuration and try again.",请更正选项卡配置，然后重试。
"You have logged out.",您已登出。
"The image cache was cleaned.",图片缓存被清除了。
"An error occurred while clearing the image cache.",清除图片缓存时出错。
"The JavaScript/CSS cache has been cleaned.","JavaScript 和 CSS 缓存已清理。"
"An error occurred while clearing the JavaScript/CSS cache.","清除的 JavaScript 和 CSS 缓存时出错。"
"The static files cache has been cleaned.",静态文件缓存已清理。
"You flushed the cache storage.",你已刷新缓存存储。
"The Magento cache storage has been flushed.","Magento 缓存存储已被刷新。"
"Cache Management",缓存管理
"You can't change status of cache type(s) in production mode",在生产模式中不能更改缓存类型的状态
"%1 cache type(s) disabled.","%1 缓存类型禁用。"
"An error occurred while disabling cache.",禁用缓存时出错。
"%1 cache type(s) enabled.","启用 %1 缓存类型。"
"An error occurred while enabling cache.",启用缓存时出错。
"%1 cache type(s) refreshed.","%1 缓存类型刷新。"
"An error occurred while refreshing cache.",刷新缓存时出错。
Dashboard,控制面板
"We updated lifetime statistic.",已更新周期统计。
"We can't refresh lifetime statistics.",我们不能刷新生存时间统计。
"invalid request",无效请求
"see error log for details",请参阅错误日志里的详细信息
"Service unavailable: %1",服务不可用：%1
"Access Denied.",访问被拒绝。
"You need more permissions to do this.",你需要更多的权限来执行此操作。
"No search modules were registered",没有注册的搜索模块
"Please make sure that all global admin search modules are installed and activated.",请确保所有的全局管理员搜索模块已安装并激活。
"You saved the account.",你已保存该帐户。
"An error occurred while saving account.",保存帐户时出错。
"You deleted the design change.",你删除设计更改。
"You can't delete the design change.",您不能删除设计更改。
"Store Design",店铺设计
"Edit Store Design Change",编辑店铺设计更改
"You saved the design change.",你保存的设计更改。
System,系统
"Manage Stores",管理存储
"The database was backed up.",数据库备份。
"We can't create a backup right now. Please try again later.",我们现在不能创建一个备份。请稍后再试。
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","删除 %1 不会删除与 %1（例如类别、 产品等）相关的信息，但 %1 将不能被恢复。建议在删除 %1 之前创建数据库备份。"
"Something went wrong. Please try again.",出错了，请再试一次。
"This store cannot be deleted.",不能删除此店铺。
"You deleted the store.",已删除店铺。
"Unable to delete the store. Please try again later.",无法删除店铺。请稍后再试。
"This store view cannot be deleted.",不能删除该店铺视图。
"Store View",商店界面
"You deleted the store view.",你删除了店铺视图。
"Unable to delete the store view. Please try again later.",无法删除店铺视图，请稍后再试。
"This website cannot be deleted.",无法删除此网站。
"You deleted the website.",您删除了该网站。
"Unable to delete the website. Please try again later.",不能删除该网站，请稍后再试。
"The website does not exist.",该网站不存在。
"Before modifying the website code please make sure it is not used in index.php.","修改网站代码前请确保它没有应用在 index.php 中。"
"The store does not exist",店铺不存在
"Store view doesn't exist",店铺视图不存在
"Before modifying the store view code please make sure it is not used in index.php.","修改店铺视图代码前请确保它没有应用在 index.php 中。"
"New ",新建
"All Stores",所有店铺
"You saved the website.",你已保存网站。
"The default store cannot be disabled",不能禁用默认店铺
"You saved the store view.",您已保存的店铺视图。
